"Parameter","Mean","SD","Q2.5","Q97.5","ESS","Rhat","Rhat_upper"
"mu_nat_monitor[1824]",11.2010539896285,0.228563578605866,10.7706191019964,11.6638378990883,2643.92220937797,1.00130649512988,1.00425941085635
"mu_nat_monitor[1825]",11.4859490102501,0.23841455356117,11.0342429252083,11.9672289837202,3189.5663601585,1.00114899944335,1.00377463215884
"mu_nat_monitor[1826]",11.6560135181023,0.243694778658072,11.1927025080448,12.1467392253153,3761.10754175655,1.00103105278988,1.00340848490618
"mu_nat_monitor[1827]",7.89614484157232,0.165445657313293,7.56956027526666,8.21819877058668,10154.510697641,1.00036398650347,1.00085459512435
"mu_nat_monitor[1828]",7.89801120651912,0.164969413206671,7.5724105276316,8.21961198459003,10168.4372299288,1.00036374545102,1.00085444152561
"mu_nat_monitor[1829]",7.90046076571611,0.164353592087353,7.5758476594912,8.22123288720316,10186.5204787848,1.00036341595406,1.00085419642968
"mu_nat_monitor[183]",19.3865817117318,0.608487502047197,18.2131977143175,20.6142216417107,1535.88910063437,1.0056022702058,1.01744854926657
"mu_nat_monitor[1830]",7.9023078449205,0.163895801682075,7.57854069525081,8.22213508597859,10200.0233201693,1.00036315790461,1.00085398050914
"mu_nat_monitor[1831]",7.90425291988796,0.163419517277613,7.58157541828084,8.22334189113616,10214.130577143,1.00036287745113,1.00085372546997
"mu_nat_monitor[1832]",7.90673277298588,0.162820490063414,7.58539529769365,8.22429326732427,10231.9650601244,1.00036250718131,1.00085336074788
"mu_nat_monitor[1833]",7.90793401861136,0.162533491213924,7.58734552548126,8.22519047817144,10240.5480783855,1.0003623227798,1.00085316863749
"mu_nat_monitor[1834]",7.91133855789082,0.161730785162229,7.59258830994508,8.22689760084815,10264.6950536658,1.00036178257094,1.00085257135305
"mu_nat_monitor[1835]",7.91412616173102,0.161084751701296,7.59689663619304,8.22850354390325,10284.2899976542,1.0003613211809,1.0008520260648
"mu_nat_monitor[1836]",7.91684435075374,0.160463999475988,7.60126476010973,8.23002964346265,10303.2632540427,1.00036085498947,1.00085144728981
"mu_nat_monitor[1837]",7.92197594601059,0.159315364208183,7.60872642389594,8.23358379626885,10338.7757957802,1.00035993164234,1.00085023237351
"mu_nat_monitor[1838]",7.92942284501429,0.157698370041214,7.61975697436337,8.23861436885225,10389.7496527706,1.00035849263618,1.00084819648547
"mu_nat_monitor[1839]",7.9317819887288,0.157197559064051,7.62306799397942,8.24022522826625,10405.7906464551,1.00035801256135,1.00084748632733
"mu_nat_monitor[184]",20.0111247694033,0.661853280159108,18.7321048317301,21.3270046736964,1293.42366034956,1.00622886616105,1.01926200314686
"mu_nat_monitor[1840]",7.93580258018654,0.156355964055699,7.6291210070755,8.24244629928953,10433.0373324179,1.00035716773976,1.00084620548523
"mu_nat_monitor[1841]",7.94446346027762,0.154591016047771,7.64132060550284,8.24788284318875,10491.4485831686,1.00035523434169,1.00084315043186
"mu_nat_monitor[1842]",7.95142115604596,0.153217167362618,7.6512882252706,8.2527839093394,10538.2165856078,1.00035356929599,1.00084040946825
"mu_nat_monitor[1843]",7.95926801612318,0.151711095734427,7.66242451806178,8.25887842705373,10590.9258379545,1.00035157224322,1.00083701746123
"mu_nat_monitor[1844]",7.96169945632739,0.151253243172142,7.66600588525961,8.26058839002151,10607.2687038083,1.00035092781788,1.00083590238386
"mu_nat_monitor[1845]",7.97126969910537,0.14948934163658,7.67932533621074,8.26637636836189,10671.724571996,1.00034827371704,1.0008312218608
"mu_nat_monitor[1846]",7.97158386339022,0.149432435965167,7.6797476823865,8.26657457942455,10673.8452336327,1.00034818341205,1.000831060368
"mu_nat_monitor[1847]",7.98731503293923,0.146658915263444,7.70082179196591,8.27734649955691,10780.6052963294,1.00034340356001,1.0008223413997
"mu_nat_monitor[1848]",7.98952826781524,0.146280133476317,7.70359706790435,8.27891462814475,10795.7338419645,1.00034269053561,1.00082101566808
